Model,Features,Num Features,CV_AUC
KNN,"('intershoulder_distance', 'necklength_y', 'normalization_factor_distance', 'nose_normalization_factor')",4,0.98676953125
KNN,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",6,0.9866484374999999
XGBoost,"('intershoulder_distance', 'slouchangle', 'nose_normalization_factor')",3,0.9863984374999999
KNN,"('necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",5,0.98607421875
KNN,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'normalization_factor_distance', 'nose_normalization_factor')",5,0.9858671874999999
KNN,"('intershoulder_distance', 'slouchangle', 'angle_of_rotation', 'nose_normalization_factor')",4,0.98584765625
Random Forest,"('slouchangle', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.98522265625
KNN,"('intershoulder_distance', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",5,0.9848398437499999
KNN,"('necklength_y', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.9843125
KNN,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'nose_normalization_factor')",4,0.9841015625
KNN,"('necklength_y', 'slouchangle', 'normalization_factor_distance', 'nose_normalization_factor')",4,0.98361328125
Random Forest,"('intershoulder_distance', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.9831992187499999
Random Forest,"('necklength_y', 'slouchangle', 'nose_normalization_factor')",3,0.98314453125
KNN,"('intershoulder_distance', 'slouchangle', 'normalization_factor_distance', 'nose_normalization_factor')",4,0.9830625
KNN,"('intershoulder_distance', 'necklength_y', 'nose_normalization_factor')",3,0.9822890624999999
XGBoost,"('necklength_y', 'slouchangle', 'nose_normalization_factor')",3,0.9822031250000001
Random Forest,"('angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.98158203125
KNN,"('intershoulder_distance', 'slouchangle', 'nose_normalization_factor')",3,0.9815234374999999
Random Forest,"('intershoulder_distance', 'angle_of_rotation', 'nose_normalization_factor')",3,0.9815156250000001
KNN,"('slouchangle', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",4,0.9814921875
KNN,"('slouchangle', 'angle_of_rotation', 'nose_normalization_factor')",3,0.9812773437499999
Random Forest,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",5,0.9792343750000001
XGBoost,"('intershoulder_distance', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",4,0.97861328125
KNN,"('necklength_y', 'slouchangle', 'nose_normalization_factor')",3,0.9774804687499999
XGBoost,"('slouchangle', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.9771796875
Random Forest,"('necklength_y', 'nose_normalization_factor')",2,0.9767421875
XGBoost,"('necklength_y', 'nose_normalization_factor')",2,0.9763945312499999
Random Forest,"('intershoulder_distance', 'necklength_y', 'angle_of_rotation', 'normalization_factor_distance')",4,0.9760937499999999
Random Forest,"('necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",4,0.9760390624999999
KNN,"('intershoulder_distance', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",4,0.97587109375
Random Forest,"('necklength_y', 'angle_of_rotation', 'normalization_factor_distance')",3,0.9743203125
XGBoost,"('intershoulder_distance', 'angle_of_rotation', 'nose_normalization_factor')",3,0.9738242187500001
Random Forest,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation')",4,0.9734375
XGBoost,"('intershoulder_distance', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.97316015625
KNN,"('slouchangle', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.97299609375
KNN,"('intershoulder_distance', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.9723242187499999
KNN,"('necklength_y', 'nose_normalization_factor')",2,0.9721757812499998
KNN,"('angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.97183203125
Random Forest,"('intershoulder_distance', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",4,0.9715703124999999
XGBoost,"('angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.9710351562499999
XGBoost,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",5,0.97086328125
Random Forest,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'normalization_factor_distance')",4,0.97071875
KNN,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",5,0.9706875
XGBoost,"('necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",4,0.9698046875000002
Random Forest,"('angle_of_rotation', 'nose_normalization_factor')",2,0.96979296875
XGBoost,"('intershoulder_distance', 'necklength_y', 'angle_of_rotation', 'normalization_factor_distance')",4,0.96932421875
KNN,"('intershoulder_distance', 'necklength_y', 'angle_of_rotation', 'normalization_factor_distance')",4,0.96901171875
Random Forest,"('necklength_y', 'slouchangle', 'angle_of_rotation')",3,0.96812109375
Random Forest,"('slouchangle', 'nose_normalization_factor')",2,0.96738671875
XGBoost,"('necklength_y', 'angle_of_rotation', 'normalization_factor_distance')",3,0.96718359375
XGBoost,"('intershoulder_distance', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",4,0.9668906250000001
KNN,"('necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",4,0.96669140625
KNN,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'normalization_factor_distance')",4,0.96612890625
Random Forest,"('intershoulder_distance', 'necklength_y', 'angle_of_rotation')",3,0.9658789062500001
Random Forest,"('normalization_factor_distance', 'nose_normalization_factor')",2,0.9657109374999999
XGBoost,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'normalization_factor_distance')",4,0.9655507812499999
XGBoost,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation')",4,0.9649023437500001
XGBoost,"('angle_of_rotation', 'nose_normalization_factor')",2,0.9648125000000001
