normalized_neck_length,nose_depth,neck_angle,shoulder_width,head_tilt,nose_depth,left_shoulder_depth,right_shoulder_depth
0.5953329801559448,-1.0115717649459839,128.89315443689955,192,177.436229788535,-1.0115717649459839,-0.2599483132362366,-0.45194587111473083
0.5910402536392212,-0.9966251254081726,129.16050768848257,186,176.4785466230778,-0.9966251254081726,-0.257413387298584,-0.44573837518692017
0.5820851922035217,-0.9310311079025269,125.39026187494721,150,172.03038960567864,-0.9310311079025269,-0.19689741730690002,-0.42350396513938904
0.5774897933006287,-0.8921307325363159,125.21759296819272,138,172.0565281894096,-0.8921307325363159,-0.18512244522571564,-0.4247148036956787
0.571803629398346,-0.6935564279556274,140.63068275763524,198,174.36931724236476,-0.6935564279556274,-0.19503386318683624,-0.3493437170982361
0.5685033202171326,-0.7933336496353149,130.7045534284816,167,173.77417093557423,-0.7933336496353149,-0.164444237947464,-0.35907256603240967
0.5690491199493408,-0.7118914723396301,126.9141585713874,40,29.74488129694222,-0.7118914723396301,-0.12640422582626343,-0.45294755697250366
0.5691346526145935,-0.5976240634918213,131.67462629941846,10,4.398705354995531,-0.5976240634918213,-0.0967712253332138,-0.472543865442276
0.5677422285079956,-0.6249620914459229,130.6275710841222,47,2.436648246810131,-0.6249620914459229,-0.103949174284935,-0.5157670378684998
0.5721819400787354,-0.5714811086654663,133.24187703032655,119,0.6095065766751959,-0.5714811086654663,-0.0848158746957779,-0.5572953224182129
0.5720431208610535,-0.5127366781234741,136.5911402711946,134,0.5672664098579344,-0.5127366781234741,-0.05854270979762077,-0.5446317195892334
0.5726916193962097,-0.5343220233917236,135.09694708093645,135,0.4476141708605531,-0.5343220233917236,-0.06541784852743149,-0.552398145198822
0.5753881335258484,-0.6348739862442017,127.92769364497984,162,0.0,-0.6348739862442017,-0.0811561644077301,-0.5983535051345825
0.5807255506515503,-0.5783417820930481,131.2967009708858,153,0.0,-0.5783417820930481,-0.07333128899335861,-0.5774742364883423
0.5804523229598999,-0.5111699104309082,136.11535214456939,135,-0.5161642297648364,-0.5111699104309082,-0.06533779948949814,-0.547191858291626
0.5834148526191711,-0.6315549612045288,128.679430095622,56,0.0,-0.6315549612045288,-0.13958348333835602,-0.5341846942901611
0.584566056728363,-0.7451035976409912,122.29937910175066,44,0.0,-0.7451035976409912,-0.15422670543193817,-0.5370675921440125
0.5848348140716553,-0.6348749995231628,129.19176891291636,46,0.0,-0.6348749995231628,-0.1491493135690689,-0.5326048731803894
0.5841952562332153,-0.552873969078064,133.16484398432834,64,0.0,-0.552873969078064,-0.1069435328245163,-0.5111731886863708
0.5837119817733765,-0.5275083780288696,133.34113105035019,48,0.0,-0.5275083780288696,-0.09251167625188828,-0.4809305667877197
0.5820408463478088,-0.6179226636886597,127.50190012728444,72,0.7440592028887094,-0.6179226636886597,-0.09995777904987335,-0.514668345451355
0.5821852087974548,-0.5642384886741638,131.65534968173412,18,1.3971810272963765,-0.5642384886741638,-0.10384608805179596,-0.4648915231227875
0.5880396366119385,-0.5573101043701172,131.60028584087675,19,0.0,-0.5573101043701172,-0.09959600865840912,-0.462193101644516
0.5881446599960327,-0.6275237798690796,129.98688624496418,39,0.0,-0.6275237798690796,-0.151920884847641,-0.45201677083969116
0.5878166556358337,-0.6584753394126892,127.60599135740173,22,2.2025981617658053,-0.6584753394126892,-0.14764496684074402,-0.46723413467407227
0.5872982740402222,-0.6557157039642334,127.79986279948211,18,1.9749340108819766,-0.6557157039642334,-0.14341787993907928,-0.4676680564880371
0.5872917771339417,-0.733795702457428,123.2949304834723,15,2.2025981617658053,-0.733795702457428,-0.14400379359722137,-0.47281941771507263
0.5883461833000183,-0.8308514356613159,119.4384896746715,19,0.0,-0.8308514356613159,-0.16022367775440216,-0.4863958954811096
0.5882775783538818,-0.748672604560852,130.88777115528154,146,-180.0,-0.748672604560852,-0.1883317530155182,-0.3774581253528595
0.5869615077972412,-0.8405566215515137,130.6718559141511,162,-179.10482628978895,-0.8405566215515137,-0.21845638751983643,-0.3905104994773865
0.587263286113739,-0.8614465594291687,133.45184230102205,178,-179.19307054489764,-0.8614465594291687,-0.2371949702501297,-0.3908321261405945
0.5886532664299011,-0.8899067044258118,133.64528474896937,183,-179.2151753970081,-0.8899067044258118,-0.2375839650630951,-0.3836914002895355
0.5892388820648193,-0.8816013336181641,152.65012421993012,224,-177.978635059644,-0.8816013336181641,-0.2709950804710388,-0.34250253438949585
0.5883245468139648,-0.9155416488647461,161.80328589358925,233,-178.0474909506004,-0.9155416488647461,-0.3109279274940491,-0.35772448778152466
0.5896235108375549,-0.856724739074707,-156.8734796112512,233,-177.87890360333856,-0.856724739074707,-0.2934075593948364,-0.2532188296318054
0.5895366668701172,-0.8670523762702942,-146.12731706206836,222,-177.51044707800085,-0.8670523762702942,-0.3429819941520691,-0.27031201124191284
0.589016318321228,-0.807638943195343,-142.4697521377841,214,-176.1214754971523,-0.807638943195343,-0.34670835733413696,-0.2543720006942749
0.589130699634552,-0.7932595014572144,-140.7646151651582,210,-175.84035770628736,-0.7932595014572144,-0.34508973360061646,-0.2463492900133133
0.5907912850379944,-0.7420262694358826,-139.0402040184042,202,-174.92039213998544,-0.7420262694358826,-0.33286184072494507,-0.22164079546928406
0.5946745276451111,-0.7319617867469788,-144.71118303318804,213,-176.30861401354872,-0.7319617867469788,-0.3032098114490509,-0.22754624485969543
0.5975152850151062,-0.708076536655426,-139.46546417070752,198,-175.2363583092738,-0.708076536655426,-0.3198279142379761,-0.21549002826213837
0.5985702872276306,-0.6497436761856079,-144.4237651616837,205,-174.70991879462875,-0.6497436761856079,-0.3098907470703125,-0.22367247939109802
0.6094799637794495,-0.6800230741500854,-141.4698199851732,201,-172.47617956136136,-0.6800230741500854,-0.30849844217300415,-0.22043922543525696
