neck_angle,normalized_neck_length,shoulder_width,head_tilt,nose_depth,left_shoulder_depth,right_shoulder_depth
4.098575603023357,0.5826630032328071,288.20999288713085,175.3218755683286,-0.6918585896492004,-0.18128369748592377,-0.24770507216453552
4.451914365170543,0.5775492813287391,290.02758489495443,175.7233854848709,-1.1199055910110474,-0.2680721580982208,-0.42442402243614197
4.181640032652776,0.5932174449600245,289.0276803352925,175.68320623804868,-0.9026018381118774,-0.17802336812019348,-0.4007643163204193
5.120409876223016,0.6010137565850003,289.0,175.60054272388706,-1.0419085025787354,-0.2891003489494324,-0.40963253378868103
5.180429541665311,0.6111126703760406,290.0017241328058,175.60054272388706,-0.9894887804985046,-0.2579323947429657,-0.40797892212867737
4.9359711926666305,0.6191010415280814,291.0154635066666,175.60054272388706,-0.937035083770752,-0.22287876904010773,-0.4068581461906433
4.266316403188138,0.6237060741830213,291.0068727710739,175.55801405000398,-0.9853317141532898,-0.21720647811889648,-0.42352551221847534
3.9406056309985154,0.6251555458589924,291.0154635066666,175.55801405000398,-0.9842926263809204,-0.204715758562088,-0.4259141981601715
4.086423236790752,0.6248610088165977,292.0068492347397,175.55801405000398,-0.9089638590812683,-0.20713627338409424,-0.3995296359062195
4.231391317451704,0.6288575695454527,291.00171820798585,175.55801405000398,-0.9628426432609558,-0.2081788331270218,-0.41470369696617126
4.108914227762433,0.6257308080909204,290.0068964697219,175.55801405000398,-1.0049934387207031,-0.18253925442695618,-0.41452473402023315
3.7939331569789894,0.6254932399104108,290.0068964697219,175.55801405000398,-1.027343511581421,-0.23458275198936462,-0.4157155454158783
4.097637905033526,0.6274616782807869,290.0017241328058,175.51465639049317,-1.0394079685211182,-0.258719265460968,-0.4219619333744049
4.097637905033526,0.6274616782807869,290.0017241328058,175.51465639049317,-1.0353662967681885,-0.25201529264450073,-0.4314172863960266
4.097637905033526,0.6274616782807869,290.0017241328058,176.11123930029655,-0.8384763598442078,-0.2468695193529129,-0.3424554765224457
4.097637905033526,0.6274616782807869,290.0017241328058,176.0732493402527,-0.9530376195907593,-0.23081457614898682,-0.38521459698677063
4.097637905033526,0.6274616782807869,290.0017241328058,176.0732493402527,-1.001684308052063,-0.2433754950761795,-0.41180887818336487
4.097637905033526,0.6274616782807869,290.0017241328058,175.51465639049317,-1.0120304822921753,-0.22055089473724365,-0.4252563416957855
4.278086401358263,0.6263081640061465,289.0017300986276,175.51465639049317,-1.0364506244659424,-0.22108879685401917,-0.4258255958557129
4.108914227762433,0.6257456885514624,290.0,176.0732493402527,-1.0833289623260498,-0.2416573315858841,-0.4480646252632141
4.086423236790752,0.6291701908161915,290.0068964697219,176.0732493402527,-0.8335822820663452,-0.18899531662464142,-0.371658593416214
4.075269719709981,0.6309011705126475,290.0017241328058,175.51465639049317,-0.8774183988571167,-0.1661798059940338,-0.36873647570610046
4.435857169108376,0.624279466225923,290.0017241328058,176.0732493402527,-1.04160475730896,-0.2948116660118103,-0.39427924156188965
4.47286665057295,0.6191116586739704,290.0068964697219,175.51465639049317,-1.0241385698318481,-0.2709551453590393,-0.39497169852256775
4.448125528051647,0.6225494121435843,290.0068964697219,176.0732493402527,-1.044285774230957,-0.289132684469223,-0.4143736958503723
