intershoulder_distance,necklength_y,slouchangle,angle_of_rotation,normalization_factor_distance,nose_normalization_factor
0.30657750374939197,-0.17042014002799988,42.02235284439312,0.0924089681232279,0.4270243324476198,0.35041568526268313
0.3155768787990937,-0.17045538127422333,45.850797281897925,0.23583264504334156,0.43941803813488556,0.3578166711175384
0.31551899806333555,-0.17012649774551392,46.261529973723256,0.19463681664322202,0.4353568188555057,0.3598333137790955
0.3115187290706486,-0.1707281917333603,44.90311035185399,0.17593878640834515,0.4368174292864968,0.36689716262620414
0.3192974456370196,-0.16693325340747833,46.72413502339186,0.12727236486564042,0.43354660244812643,0.36613616962398693
0.3207513215327188,-0.1661462038755417,46.92264379066015,0.08267277190377914,0.431636630756898,0.3655223562788467
0.31975207583749626,-0.16560783982276917,46.9591896830337,0.14249058114420665,0.4341202513939886,0.3652991229709806
0.31935277829052217,-0.1643647998571396,47.11399029398787,0.1556204899646843,0.4348681332373532,0.3655735296053848
0.32410459122212226,-0.16398485004901886,46.89796253014585,0.040500755236409496,0.430203323399602,0.36467439246565053
0.3257541526822528,-0.16390295326709747,47.48633509944812,0.09991694458150178,0.43206445404843874,0.36271190859222796
0.32540681012910316,-0.16379901766777039,47.487162497756586,0.11028192291963083,0.4330134552745711,0.3627568046209805
0.3231686490450843,-0.16410396993160248,47.51243622230342,0.11634331873936166,0.4336149457756289,0.36293676887317755
0.32094817961078254,-0.16392768919467926,47.229144239223196,0.22817215376326858,0.4419800560495736,0.3630145862199191
0.3235820961992348,-0.16615258157253265,46.97438099470241,0.14964311869656793,0.4352456036617929,0.3632976924229755
0.3187611648434861,-0.1664775311946869,46.64711718214023,0.31727919034165597,0.45260752138416077,0.3638945479978885
0.3186428766496417,-0.16601064801216125,46.80028163413472,0.24105003144411785,0.4433908753613965,0.3645729215951918
0.3166364080739454,-0.16512049734592438,47.11078780371332,0.23254804996702205,0.44227231042601994,0.3647943635123328
0.3148835434022908,-0.16567960381507874,46.924676088149084,0.24873774475619334,0.4444337331482808,0.3661096216259953
0.31520093969492224,-0.16625098884105682,46.976662681774975,0.2876672522073564,0.45027318811843464,0.3663989445085798
0.31488552640531325,-0.16515974700450897,47.13010041521181,0.25654729653780056,0.44633701931936276,0.36605791070574556
0.32120723607622736,-0.1667783111333847,46.854921220786714,0.12197445350181536,0.43498276273221037,0.36603106574940747
0.3177260191452279,-0.1671469658613205,46.76517882798337,0.1660651702801541,0.43707752328506516,0.36518414658973025
0.3198018287742447,-0.16719797253608704,46.94059052426494,0.20902525966265206,0.4410168381453391,0.3655625297663952
0.322131793577716,-0.1671859622001648,46.839281445548025,0.2025137422698341,0.4402789679017406,0.3658019798918931
0.31756426547027494,-0.16713953018188477,46.6011496634595,0.16127166411622185,0.4365371259184643,0.36582906327044884
0.3124187889192986,-0.1654268205165863,46.71338630975918,0.21664707180217121,0.44056189575127064,0.36486963629182734
0.31023012211513856,-0.1686801165342331,44.084459263950464,0.2276807174293939,0.43979624063943035,0.3607309801971342
0.3117177220554777,-0.16854989528656006,44.706090552711565,0.23958616365386462,0.43924203562895087,0.3590084808494599
0.31458350426870707,-0.16870388388633728,45.2326233248332,0.30697764869091715,0.44376464334612187,0.3577590304556905
0.3168541948272901,-0.17166569828987122,45.41767037300434,0.33152054030184125,0.4453154818404789,0.35639282302037156
0.32055248465999137,-0.17145158350467682,46.34094242073326,0.406077983486512,0.45680227364371745,0.3537869212415554
0.3170640853770152,-0.1709488481283188,46.53791695029619,0.4362711595662171,0.4597516932659859,0.3530972266304228
0.315557908217674,-0.17111258208751678,46.67123936011122,0.4792775992352286,0.46687112347351234,0.3510790342744809
0.3148370172456691,-0.16775837540626526,47.21757991579017,0.4445684201996645,0.4531901558777557,0.3454640331288249
0.3166382575499093,-0.16451534628868103,48.08117623352647,0.3927870865018872,0.4291023004860948,0.32698354265058904
0.31662718101490267,-0.1642848551273346,48.09078374531322,0.35022707803309755,0.4219288434543732,0.32540244236072846
0.3176645225953099,-0.16410882771015167,48.1509807135426,0.3461814776272232,0.4207386356459212,0.3229474751866955
0.3099980895383684,-0.1583438515663147,49.08767523244433,0.3079463912798181,0.40751547389985965,0.3033808398408907
0.31061001012713374,-0.15802213549613953,49.1175758693062,0.31135072981539297,0.406371200563023,0.2960554826696283
0.31134936937957336,-0.15794405341148376,49.12389657246553,0.28516087662241946,0.4000331553119058,0.29765689258127886
